n,tau,k_intensity,k_rate,tau_grid,ke_tau_prod_grid,sr_tau_prod_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,0.05,270.24,35565.6,0.05,13.512,1778.28,1.2020121078570838,0.18899246814979595,7.548082993628688,1.8952302724330414,2.6909010633562738,10.539998764871651,29,29
1,0.05,270.24,50297.35999999999,0.05,13.512,2514.868,1.1972794903805548,0.18585857838988812,7.530137883891761,1.906663526649748,2.6752447199263725,10.418140093167565,29,29
2,0.05,270.24,71131.2,0.05,13.512,3556.56,1.1960233908902953,0.18355878247995622,7.526526631793721,1.9068592832428413,2.6747117509738136,10.388066778683157,29,29
3,0.05,270.24,100594.69999999998,0.05,13.512,5029.735,1.1948257490357417,0.1821697895818705,7.524366518027241,1.9064747603935208,2.6718124670866317,10.35711443736359,29,29
4,0.05,270.24,142262.4,0.05,13.512,7113.12,1.194571578507371,0.18188004507246924,7.523917907928653,1.9074355696298226,2.6781194301435534,10.380573883885365,29,29
5,0.05,355.66,35565.6,0.05,17.783,1778.28,1.04790107761249,0.13453411682978939,4.611761229141026,1.8875257221112334,2.318693081978409,8.350177997852175,29,29
6,0.05,355.66,50297.35999999999,0.05,17.783,2514.868,1.052460475257714,0.1336742973980562,4.54163820407287,1.8998797063478465,2.38368430345159,8.542629054677846,29,29
7,0.05,355.66,71131.2,0.05,17.783,3556.56,1.058288328700389,0.1343250597850931,4.542866873053781,1.9087800176684104,2.481743900214432,8.91767355830623,29,29
8,0.05,355.66,100594.69999999998,0.05,17.783,5029.735,1.0663042183679627,0.1357328562376159,4.545544122222148,1.9159384885437964,2.6076839048963167,9.441194276955333,29,29
9,0.05,355.66,142262.4,0.05,17.783,7113.12,1.0714027908735702,0.13681621235345506,4.5476222908100326,1.9198545955807782,2.69643529930121,9.843119549659901,29,29
10,0.05,468.08,35565.6,0.05,23.404,1778.28,2.794147414635786,0.3016933597293861,6.1872675341006245,1.8686496190527349,2.1967756961656892,7.480499790226321,29,29
11,0.05,468.08,50297.35999999999,0.05,23.404,2514.868,2.8354997536797018,0.3130214948035249,6.136018965758009,1.895085777727011,2.3018427047911443,7.924373149323916,29,29
12,0.05,468.08,71131.2,0.05,23.404,3556.56,2.861405079496298,0.3217534399480311,6.16485759799296,1.9038179117782508,2.517936622725235,8.868299544218136,29,29
13,0.05,468.08,100594.69999999998,0.05,23.404,5029.735,2.8778307197809925,0.3284354048311808,6.187367755703825,1.912647605335618,2.730005548370358,9.840886381680091,29,29
14,0.05,468.08,142262.4,0.05,23.404,7113.12,2.8910225640979466,0.333237523662152,6.203779121878998,1.9198224714863799,2.940682430919947,10.813348065826075,29,29
15,0.071,190.3098591549296,25046.197183098593,0.071,13.512,1778.28,1.5096431971534396,0.21731653821208644,8.518292390488526,1.8788518334139979,4.317608264179517,11.0562315400684,29,29
