n,tau,tau_motor,k_rate,k_motor,gain_rate_grid,tau_grid,gain_motor_grid,tau_motor_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,0.01,0.056,707.107,0.5714285714285714,707.107,0.01,0.032,0.056,1.4254539468295362,0.18674997461606468,6.260228017136176,0.36121818780812165,0.39984548940794307,0.5680147680533576,29,29
1,0.01,0.079,707.107,0.4050632911392405,707.107,0.01,0.032,0.079,1.2598547540096179,0.1709254160569696,5.4637608557151225,0.3214397767337826,0.39131983347140703,0.5680147680533576,29,29
2,0.01,0.112,707.107,0.2857142857142857,707.107,0.01,0.032,0.112,0.9841451681075685,0.1416472232018889,4.048311368391599,0.2500774973390027,0.37498905725371734,0.5680147680533576,29,29
3,0.01,0.158,707.107,0.20253164556962025,707.107,0.01,0.032,0.158,0.6780761116518966,0.1079588835829313,2.336931200802648,0.16276468410438585,0.35009452280610676,0.568014768053358,29,29
4,0.01,0.224,707.107,0.14285714285714285,707.107,0.01,0.032,0.224,0.4583863936790355,0.08837382309697028,1.2543924561967794,0.10726252056487134,0.3283911711498879,0.568014768053358,29,29
5,0.01,0.056,707.107,0.8035714285714285,707.107,0.01,0.045,0.056,1.1430279254582603,0.1547471928498276,4.669947180494866,0.28889606074500035,0.3861971737467394,0.5680147680533576,29,29
6,0.01,0.079,707.107,0.5696202531645569,707.107,0.01,0.045,0.079,0.9299142301535452,0.13417739065350284,3.677396693206817,0.23448304301733944,0.3717951994924021,0.5680147680533576,29,29
7,0.01,0.112,707.107,0.40178571428571425,707.107,0.01,0.045,0.112,0.6061596432489689,0.1047195700395892,2.097042463254425,0.14750945903597013,0.34450098030986515,0.568014768053358,29,29
8,0.01,0.158,707.107,0.28481012658227844,707.107,0.01,0.045,0.158,0.43242659845802794,0.0825492609328533,1.2186746522270646,0.10017215858098596,0.3205356365791111,0.568014768053358,29,29
9,0.01,0.224,707.107,0.20089285714285712,707.107,0.01,0.045,0.224,0.7839399517944271,0.09512064491212442,2.9926905602196747,0.1709098953473656,0.30176392736453894,0.5680147680533582,29,29
10,0.01,0.056,707.107,1.1428571428571428,707.107,0.01,0.064,0.056,0.741765058740197,0.11097997380663438,2.5497620647000523,0.18449442851986406,0.3592448298853516,0.568014768053358,29,29
11,0.01,0.079,707.107,0.810126582278481,707.107,0.01,0.064,0.079,0.5356072812979297,0.09783874739287181,1.693372907394386,0.13087092404509035,0.3396623856880318,0.568014768053358,29,29
12,0.01,0.112,707.107,0.5714285714285714,707.107,0.01,0.064,0.112,0.47077257178141046,0.0831922996293574,1.4020041403436505,0.10376660989567249,0.31671274695089197,0.568014768053358,29,29
13,0.01,0.158,707.107,0.4050632911392405,707.107,0.01,0.064,0.158,0.8891320171377759,0.10195501801246655,3.325297839599647,0.18999236278729154,0.29778593303506123,0.5680147680533582,29,29
14,0.01,0.224,707.107,0.2857142857142857,707.107,0.01,0.064,0.224,1.4656643952739465,0.14961914918303149,5.722001637243939,0.32052495792644353,0.29201559820759304,0.5680147680533582,29,29
15,0.01,0.056,707.107,1.625,707.107,0.01,0.091,0.056,0.4497264261517457,0.08655130574148823,1.9177885712627547,0.12081482509071577,0.32627898180949577,0.568014768053358,29,29
16,0.01,0.079,707.107,1.1518987341772151,707.107,0.01,0.091,0.079,0.5669327750446918,0.08689424420752945,2.435960362304538,0.1360894359710627,0.3128627390936684,0.568014768053358,29,29
17,0.01,0.112,707.107,0.8125,707.107,0.01,0.091,0.112,0.9672237677113312,0.10942615005903836,3.891340740016927,0.21265522112934104,0.29745237067289054,0.5680147680533582,29,29
18,0.01,0.158,707.107,0.5759493670886076,707.107,0.01,0.091,0.158,1.559303945870713,0.15867479616062105,5.977682780977949,0.3366189893659007,0.29382684340790516,0.568014768053358,29,29
19,0.01,0.224,707.107,0.40625,707.107,0.01,0.091,0.224,2.2184424833066627,0.22395035871521016,8.479746731242859,0.4784897872261879,0.3107546887626227,0.5680147680533586,29,29
20,0.01,0.056,707.107,2.2857142857142856,707.107,0.01,0.128,0.056,0.9321673862935796,0.1206548826174491,4.782282947648708,0.23299549857417098,0.30299878491283294,0.5680147680533582,29,29
21,0.01,0.079,707.107,1.620253164556962,707.107,0.01,0.128,0.079,1.1737633641921494,0.13507875109244602,5.435449933325422,0.2775855363828977,0.2972500892821231,0.5680147680533582,29,29
22,0.01,0.112,707.107,1.1428571428571428,707.107,0.01,0.128,0.112,1.6480974548021399,0.17123024839834428,6.765987820429238,0.3645939045118261,0.2975662923954601,0.568014768053358,29,29
23,0.01,0.158,707.107,0.810126582278481,707.107,0.01,0.128,0.158,2.248097484386067,0.22892240799618982,8.612176448467226,0.48688186209359874,0.31451936980905837,0.5680147680533586,29,29
24,0.01,0.224,707.107,0.5714285714285714,707.107,0.01,0.128,0.224,2.9090753386741204,0.2981820507953316,10.729767569028631,0.6214187113101477,0.3501773307591665,0.5680147680533586,29,29
25,0.02,0.056,35355.35,0.5714285714285714,707.107,0.02,0.032,0.056,4.581246433440258,0.5125084741011198,13.214909873719023,0.9060980213211726,0.5327110737460894,0.5680147680533572,29,29
26,0.02,0.079,35355.35,0.4050632911392405,707.107,0.02,0.032,0.079,4.798358469842525,0.5324520058600014,14.077871384482613,0.9363074721936725,0.5326085282670825,0.5680147680533572,29,29
27,0.02,0.112,35355.35,0.2857142857142857,707.107,0.02,0.032,0.112,4.985464607035569,0.5557097917710745,14.907609735077502,0.9767022373429624,0.532567798048473,0.5680147680533572,29,29
28,0.02,0.158,35355.35,0.20253164556962025,707.107,0.02,0.032,0.158,5.3019492551109035,0.5985105420563759,16.207110043407816,1.032841746385282,0.5323611273981173,0.5680147680533572,29,29
29,0.02,0.224,35355.35,0.14285714285714285,707.107,0.02,0.032,0.224,5.726505479091898,0.6539362671655088,18.04023751163191,1.1162242549006027,0.5321127103244911,0.5680147680533572,29,29
30,0.02,0.056,35355.35,0.8035714285714285,707.107,0.02,0.045,0.056,4.724089272068313,0.5225334726121237,13.586047999319472,0.91995998563716,0.532661643788258,0.5680147680533572,29,29
31,0.02,0.079,35355.35,0.5696202531645569,707.107,0.02,0.045,0.079,4.864100246717604,0.5413250094126899,14.337834284735557,0.9550580686539343,0.5326272557108367,0.5680147680533572,29,29
32,0.02,0.112,35355.35,0.40178571428571425,707.107,0.02,0.045,0.112,5.080900859580995,0.5762441922867675,15.364217932496889,1.0001597205456725,0.5325130809487248,0.5680147680533572,29,29
33,0.02,0.158,35355.35,0.28481012658227844,707.107,0.02,0.045,0.158,5.468963090796377,0.6174025192933255,16.743021954813813,1.0615653221263446,0.5322392649291587,0.5680147680533572,29,29
34,0.02,0.224,35355.35,0.20089285714285712,707.107,0.02,0.045,0.224,5.959278060678432,0.6805108623113548,18.69833640845506,1.1499032421458881,0.531917467334038,0.5680147680533572,29,29
35,0.02,0.056,35355.35,1.1428571428571428,707.107,0.02,0.064,0.056,4.736007032864227,0.5289223994978882,13.859664526977458,0.9341958223499961,0.5326142863171766,0.5680147680533572,29,29
36,0.02,0.079,35355.35,0.810126582278481,707.107,0.02,0.064,0.079,4.995285389877416,0.5610168838811591,14.685388927126551,0.9732217458028003,0.5325343061146055,0.5680147680533572,29,29
37,0.02,0.112,35355.35,0.5714285714285714,707.107,0.02,0.064,0.112,5.251604948745707,0.5942294671416382,15.816461823677566,1.0226403878991652,0.5323840220684305,0.5680147680533572,29,29
38,0.02,0.158,35355.35,0.4050632911392405,707.107,0.02,0.064,0.158,5.58561017899698,0.6359333175516233,17.288332821340713,1.088046290961519,0.5321943886223741,0.5680147680533572,29,29
39,0.02,0.224,35355.35,0.2857142857142857,707.107,0.02,0.064,0.224,6.091387642218222,0.7008957664390216,19.232836660990447,1.1823311042654872,0.5317890856912098,0.5680147680533572,29,29
40,0.02,0.056,35355.35,1.625,707.107,0.02,0.091,0.056,4.882133279616325,0.5437736584233737,14.20014034636902,0.9476318793962943,0.5326228388999618,0.5680147680533572,29,29
41,0.02,0.079,35355.35,1.1518987341772151,707.107,0.02,0.091,0.079,5.079509229697069,0.5723435165668591,14.912300939116601,0.9904558313776208,0.5324878278266041,0.5680147680533572,29,29
42,0.02,0.112,35355.35,0.8125,707.107,0.02,0.091,0.112,5.398675035118959,0.6084864827358171,16.275818530534973,1.0439961709198904,0.5322580851034511,0.5680147680533572,29,29
43,0.02,0.158,35355.35,0.5759493670886076,707.107,0.02,0.091,0.158,5.765934397251794,0.6583984250064022,17.81363348314497,1.1145191351950146,0.5320913891034316,0.5680147680533572,29,29
44,0.02,0.224,35355.35,0.40625,707.107,0.02,0.091,0.224,6.28835235559653,0.7284228734234174,19.828821740534405,1.2116020077538907,0.5316188202602405,0.5680147680533572,29,29
45,0.02,0.056,35355.35,2.2857142857142856,707.107,0.02,0.128,0.056,4.938281994300517,0.5513971748718554,14.338375859555157,0.9601278171822748,0.5325619423887328,0.5680147680533572,29,29
46,0.02,0.079,35355.35,1.620253164556962,707.107,0.02,0.128,0.079,5.14787668440634,0.5847653148044052,15.238431263139725,1.0061771453500992,0.5324274193603403,0.5680147680533572,29,29
47,0.02,0.112,35355.35,1.1428571428571428,707.107,0.02,0.128,0.112,5.472500621148988,0.6192987715622419,16.54198868303979,1.0632018890343458,0.5322909542732269,0.5680147680533572,29,29
48,0.02,0.158,35355.35,0.810126582278481,707.107,0.02,0.128,0.158,5.93896491572665,0.6762419492653133,18.30622664430709,1.139149924611392,0.5319002541214443,0.5680147680533572,29,29
49,0.02,0.224,35355.35,0.5714285714285714,707.107,0.02,0.128,0.224,6.488640564143636,0.7504118836861626,20.353738290704836,1.2375268043082843,0.5313761020790626,0.5680147680533572,29,29
50,0.04,0.056,17677.675,0.5714285714285714,707.107,0.04,0.032,0.056,4.450119400966544,0.49162763538745907,12.716745909248827,0.8748109066735901,0.531755343015643,0.5680147680533572,29,29
51,0.04,0.079,17677.675,0.4050632911392405,707.107,0.04,0.032,0.079,4.497029848864692,0.4996580163709989,13.225817287075014,0.8948179647422647,0.5323570550254803,0.5680147680533572,29,29
52,0.04,0.112,17677.675,0.2857142857142857,707.107,0.04,0.032,0.112,4.692194647967489,0.5218382181027613,13.988641853624994,0.9236505369707803,0.5326893658023307,0.5680147680533572,29,29
53,0.04,0.158,17677.675,0.20253164556962025,707.107,0.04,0.032,0.158,4.9248146484748085,0.5479359620768882,15.073052564799593,0.9682989630185735,0.5325759751854489,0.5680147680533572,29,29
54,0.04,0.224,17677.675,0.14285714285714285,707.107,0.04,0.032,0.224,5.328679093342595,0.6005485264390422,16.700104490634654,1.0425994391376554,0.5323708221570214,0.5680147680533572,29,29
55,0.04,0.056,17677.675,0.8035714285714285,707.107,0.04,0.045,0.056,4.558192049296174,0.5027623704597415,12.911007031888403,0.8915229898617986,0.5327198080810293,0.5680147680533572,29,29
56,0.04,0.079,17677.675,0.5696202531645569,707.107,0.04,0.045,0.079,4.676510331049784,0.5199531009280223,13.665802932306216,0.9163342799429479,0.532678638030916,0.5680147680533572,29,29
57,0.04,0.112,17677.675,0.40178571428571425,707.107,0.04,0.045,0.112,4.882612073546652,0.5415370485512181,14.550883942668836,0.9511209255964109,0.5326094815159719,0.5680147680533572,29,29
58,0.04,0.158,17677.675,0.28481012658227844,707.107,0.04,0.045,0.158,5.0759875566361865,0.5720233955533399,15.641848824358867,1.0019700330976191,0.5325022522838156,0.5680147680533572,29,29
