n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,kb_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,kb_kf_intensity_ratio_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,0.0,37.2206,0.0143,231.1044,0.666,0.1278,0.0,1.5148008473833103,0.18045358397981417,6.216030547797218,0.28090864034134017,1.3305226297301884,5.3566597123182405,29,29
1,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,0.2003738090766823,37.2206,0.0143,231.1044,0.666,0.1278,0.000688,1.5201599310708198,0.18106266618264583,6.194711834037257,0.2805199144484058,1.3309778453792014,5.363205218419407,29,29
2,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,0.40045637715179966,37.2206,0.0143,231.1044,0.666,0.1278,0.001375,1.5324244330365935,0.18183619334686205,6.20225713061688,0.28058974479426274,1.337284409110219,5.396152597114586,29,29
3,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,0.5999564632237872,37.2206,0.0143,231.1044,0.666,0.1278,0.00206,1.5422678113054378,0.18355433605197288,6.23701204322856,0.28107787812894247,1.3402395198208594,5.413197066246944,29,29
4,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,0.8009127543035993,37.2206,0.0143,231.1044,0.666,0.1278,0.00275,1.5436219930724313,0.18338138701780346,6.226690082242304,0.2812335136512191,1.3422567215098056,5.421426382340039,29,29
5,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,0.0,37.2206,0.0143,231.1044,0.666,0.1394,0.0,1.4344507637895685,0.17628146230983907,6.314401579224412,0.2807128992553576,1.308860282868552,5.210880094898867,29,29
6,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,0.18369994835007172,37.2206,0.0143,231.1044,0.666,0.1394,0.000688,1.439858129716765,0.17633369823137762,6.337040248365452,0.2804284523404888,1.3084955988402054,5.2105272274016325,29,29
7,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,0.36713289096126256,37.2206,0.0143,231.1044,0.666,0.1394,0.001375,1.4439684805914539,0.1771987304974773,6.3334249414536075,0.2808324838861771,1.3123627143763472,5.232272019349007,29,29
8,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,0.5500318220946916,37.2206,0.0143,231.1044,0.666,0.1394,0.00206,1.4516398319018766,0.17812140245382765,6.338502995256596,0.2812958394985872,1.315273492237607,5.249785211442359,29,29
9,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,0.7342657819225251,37.2206,0.0143,231.1044,0.666,0.1394,0.00275,1.4562965307557922,0.17889804286755642,6.332691955695253,0.283545407297609,1.3206125696910467,5.277960430672628,29,29
10,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,0.0,37.2206,0.0143,231.1044,0.666,0.152,0.0,1.3436142778525904,0.1705936613545656,6.399108072888923,0.2787651596773888,1.270867093808007,4.996598734569883,29,29
11,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,0.1684721894736842,37.2206,0.0143,231.1044,0.666,0.152,0.000688,1.3480034499666866,0.17113218624643356,6.3828848110561065,0.27839784950759944,1.2733627376936423,5.0085056312335015,29,29
12,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,0.33669950657894737,37.2206,0.0143,231.1044,0.666,0.152,0.001375,1.3552206151999426,0.17214246267044475,6.406752717281938,0.2803580434309688,1.2783413561276302,5.038374157814464,29,29
13,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,0.5044370789473684,37.2206,0.0143,231.1044,0.666,0.152,0.00206,1.3622127560891968,0.1731605525048355,6.416586683302702,0.2823554165739506,1.284955667638457,5.068308433823693,29,29
14,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,0.6733990131578947,37.2206,0.0143,231.1044,0.666,0.152,0.00275,1.3681020977045748,0.17313915215028555,6.401597854841862,0.2803847233650805,1.2844674979770514,5.072547628661172,29,29
15,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,0.0,37.2206,0.0143,231.1044,0.666,0.1658,0.0,1.2524072804491433,0.16628301284665703,6.4428624665906336,0.276042885227846,1.235577102794609,4.790898986253845,29,29
16,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,0.1544497756332931,37.2206,0.0143,231.1044,0.666,0.1658,0.000688,1.2625291249968258,0.16664952246431072,6.4520093073072315,0.2753997253058895,1.2363831737084476,4.803233877653463,29,29
17,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,0.30867506031363084,37.2206,0.0143,231.1044,0.666,0.1658,0.001375,1.2672298507248045,0.16731644071036425,6.4510144312062385,0.2767708500639891,1.2421409101975462,4.829825705196828,29,29
18,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,0.4624513630880579,37.2206,0.0143,231.1044,0.666,0.1658,0.00206,1.2739438854068166,0.16777957623764242,6.440437182837682,0.27650920764868314,1.2420616192132752,4.83683486327837,29,29
19,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,0.6173501206272617,37.2206,0.0143,231.1044,0.666,0.1658,0.00275,1.2773100518279417,0.1681103559645301,6.457816661186144,0.27761004627012076,1.2486617131706241,4.864608420317666,29,29
20,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,0.0,37.2206,0.0143,231.1044,0.666,0.1808,0.0,1.180397701383406,0.16217381482768453,6.458703728476179,0.2734151226036352,1.1983940945828748,4.5984983573583404,29,29
21,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,0.14163591150442478,37.2206,0.0143,231.1044,0.666,0.1808,0.000688,1.1868234467290213,0.16245400192833395,6.452023822006312,0.27214290933779384,1.2003653453320797,4.607819004639561,29,29
22,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,0.2830659568584071,37.2206,0.0143,231.1044,0.666,0.1808,0.001375,1.1955640873986635,0.16341001567087984,6.450342781882959,0.2735132267286842,1.2031761966475423,4.622676474615203,29,29
23,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,0.42408426991150444,37.2206,0.0143,231.1044,0.666,0.1808,0.00206,1.1978158328584623,0.16359903044791657,6.453705476904131,0.27376713304528166,1.2060727449152246,4.641845318944656,29,29
24,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,0.5661319137168142,37.2206,0.0143,231.1044,0.666,0.1808,0.00275,1.2046011718608765,0.1645861982028097,6.478588229145143,0.27427115975629973,1.2082673828411032,4.654837992547308,29,29
25,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,0.0,37.2206,0.0143,231.1044,0.7263,0.1278,0.0,1.5030624150347058,0.17979219627672424,6.175837465784888,0.27645071421518336,1.3208990628601431,5.3163839548776135,29,29
26,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,0.2003738090766823,37.2206,0.0143,231.1044,0.7263,0.1278,0.000688,1.5157210064904338,0.18011897335217197,6.185365066617349,0.27477163323199716,1.3197880627227072,5.316423188992918,29,29
27,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,0.40045637715179966,37.2206,0.0143,231.1044,0.7263,0.1278,0.001375,1.5212339911584936,0.18122677900139023,6.210799936578468,0.2749484687329138,1.3219923815038048,5.329504736571094,29,29
28,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,0.5999564632237872,37.2206,0.0143,231.1044,0.7263,0.1278,0.00206,1.5312789671196172,0.18219861513551444,6.201843951297419,0.275768014386643,1.3268695470523983,5.355598600157024,29,29
29,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,0.8009127543035993,37.2206,0.0143,231.1044,0.7263,0.1278,0.00275,1.5393878927796694,0.18271109973002891,6.182296087950188,0.2776557809248715,1.3333808939167713,5.386757416569825,29,29
