n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,231.1044,0.666,0.1278,0.021471471471471472,291.24100156494524,37.2206,0.0143,231.1044,0.666,0.1278,1.5148008473833103,0.18045358397981417,6.216030547797218,0.28090864034134017,1.3305226297301884,5.3566597123182405,29,29
1,231.1044,0.666,0.1394,0.021471471471471472,267.0057388809182,37.2206,0.0143,231.1044,0.666,0.1394,1.4344507637895685,0.17628146230983907,6.314401579224412,0.2807128992553576,1.308860282868552,5.210880094898867,29,29
2,231.1044,0.666,0.152,0.021471471471471472,244.8723684210526,37.2206,0.0143,231.1044,0.666,0.152,1.3436142778525904,0.1705936613545656,6.399108072888923,0.2787651596773888,1.270867093808007,4.996598734569883,29,29
3,231.1044,0.666,0.1658,0.021471471471471472,224.4909529553679,37.2206,0.0143,231.1044,0.666,0.1658,1.2524072804491433,0.16628301284665703,6.4428624665906336,0.276042885227846,1.235577102794609,4.790898986253845,29,29
4,231.1044,0.666,0.1808,0.021471471471471472,205.86615044247787,37.2206,0.0143,231.1044,0.666,0.1808,1.180397701383406,0.16217381482768453,6.458703728476179,0.2734151226036352,1.1983940945828748,4.5984983573583404,29,29
5,231.1044,0.7263,0.1278,0.01968883381522787,291.24100156494524,37.2206,0.0143,231.1044,0.7263,0.1278,1.5030624150347058,0.17979219627672424,6.175837465784888,0.27645071421518336,1.3208990628601431,5.3163839548776135,29,29
6,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,37.2206,0.0143,231.1044,0.7263,0.1394,1.4218948150612194,0.1742651871460958,6.293138373719684,0.2753162105019906,1.2919774685356866,5.134081221708138,29,29
7,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,37.2206,0.0143,231.1044,0.7263,0.152,1.3349646365729324,0.16999480279606186,6.3722378082146385,0.2726909518490287,1.2576036197147362,4.937250396026903,29,29
8,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,37.2206,0.0143,231.1044,0.7263,0.1658,1.2520858447291485,0.16539324014227633,6.437544440444113,0.27147352567013533,1.2252160235773266,4.749945989214638,29,29
9,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,37.2206,0.0143,231.1044,0.7263,0.1808,1.175044052683158,0.1616807346848514,6.4434298402668775,0.2673184406892607,1.1852557270662498,4.54153900434701,29,29
10,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,37.2206,0.0143,231.1044,0.792,0.1278,1.4969538864459395,0.17815071780055725,6.15155377160462,0.26933340320831717,1.301802349932022,5.239657924690685,29,29
11,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,37.2206,0.0143,231.1044,0.792,0.1394,1.4129446189386101,0.17366268138672297,6.255447564934014,0.2684589566401621,1.2772528583701137,5.075714350285787,29,29
12,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,37.2206,0.0143,231.1044,0.792,0.152,1.3266175212392137,0.16886336405600602,6.367037601251692,0.2674503675240119,1.2471985438984292,4.892248711625907,29,29
13,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,37.2206,0.0143,231.1044,0.792,0.1658,1.2477658603542519,0.16498438003606858,6.421864773501631,0.2670871318594048,1.2157074291923538,4.707306264837004,29,29
14,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,37.2206,0.0143,231.1044,0.792,0.1808,1.175715875320769,0.1612954133984451,6.4335319501157775,0.2651355230617556,1.1808223967296818,4.520064816371254,29,29
15,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,37.2206,0.0143,231.1044,0.8637,0.1278,1.4903424074537615,0.1777265472581005,6.1421760528404485,0.2662230019405922,1.294185049483654,5.205459374919008,29,29
16,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,37.2206,0.0143,231.1044,0.8637,0.1394,1.4120633236777103,0.17339240142899454,6.266874185222084,0.2631420444960489,1.268697237486396,5.0413215462874374,29,29
17,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,37.2206,0.0143,231.1044,0.8637,0.152,1.3254395295068673,0.16866430158222875,6.360458291850157,0.2646358382605036,1.2422697424940785,4.871981141891823,29,29
18,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,37.2206,0.0143,231.1044,0.8637,0.1658,1.2426584445001745,0.1644031250896272,6.405939611420239,0.26157061531062586,1.2026679226737305,4.651529078567812,29,29
19,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,37.2206,0.0143,231.1044,0.8637,0.1808,1.1683501909947511,0.1605779161544121,6.4196529749691,0.25942626237072725,1.1666233432268027,4.46102048342168,29,29
20,231.1044,0.9419,0.1278,0.015182078776940227,291.24100156494524,37.2206,0.0143,231.1044,0.9419,0.1278,1.4936408891359625,0.176389094152112,6.095425407432285,0.25845093796727686,1.2835314171830325,5.159910025656176,29,29
21,231.1044,0.9419,0.1394,0.015182078776940227,267.0057388809182,37.2206,0.0143,231.1044,0.9419,0.1394,1.4039510099583405,0.17266741983326414,6.249307985131775,0.2586704020193834,1.2557173195925873,4.99185857269591,29,29
22,231.1044,0.9419,0.152,0.015182078776940227,244.8723684210526,37.2206,0.0143,231.1044,0.9419,0.152,1.31426561037541,0.16728972517046142,6.324475648794559,0.2605193080829559,1.230938593747282,4.822091926953201,29,29
23,231.1044,0.9419,0.1658,0.015182078776940227,224.4909529553679,37.2206,0.0143,231.1044,0.9419,0.1658,1.2415814484351417,0.16378021720347222,6.382437384352751,0.25758071296091933,1.1935734875646147,4.61543870023043,29,29
24,231.1044,0.9419,0.1808,0.015182078776940227,205.86615044247787,37.2206,0.0143,231.1044,0.9419,0.1808,1.172604866676488,0.16089877938769173,6.429801747342135,0.2568929054551269,1.1622081202558803,4.4444836418277305,29,29
25,252.0211,0.666,0.1278,0.021471471471471472,291.24100156494524,37.2206,0.0143,252.0211,0.666,0.1278,1.5605547394417716,0.18752322606911367,6.31006245027732,0.3068850243784264,1.3854034072029022,5.6014514877112775,29,29
26,252.0211,0.666,0.1394,0.021471471471471472,267.0057388809182,37.2206,0.0143,252.0211,0.666,0.1394,1.470624034550389,0.1816031414724926,6.421899131270212,0.308034765421184,1.362365435478608,5.446243311358089,29,29
27,252.0211,0.666,0.152,0.021471471471471472,244.8723684210526,37.2206,0.0143,252.0211,0.666,0.152,1.3759368500684896,0.17550055300258322,6.484787171156289,0.3032013241086709,1.3258770488456315,5.230488427926966,29,29
28,252.0211,0.666,0.1658,0.021471471471471472,224.4909529553679,37.2206,0.0143,252.0211,0.666,0.1658,1.2803376688007337,0.16941291464698954,6.508225365598369,0.2998519235354445,1.28493423580468,5.005220027539244,29,29
29,252.0211,0.666,0.1808,0.021471471471471472,205.86615044247787,37.2206,0.0143,252.0211,0.666,0.1808,1.1977059653371085,0.16513800012897506,6.507564290994608,0.2958571365200468,1.242680330729038,4.789983316858682,29,29
30,252.0211,0.7263,0.1278,0.01968883381522787,291.24100156494524,37.2206,0.0143,252.0211,0.7263,0.1278,1.5519779159454532,0.18614842280718363,6.26855462466096,0.3005623877745754,1.3757694697041898,5.559583989015911,29,29
31,252.0211,0.7263,0.1394,0.01968883381522787,267.0057388809182,37.2206,0.0143,252.0211,0.7263,0.1394,1.4628666641519337,0.18061137513312203,6.380386202544493,0.3004167879618481,1.3507206605450537,5.397602572433987,29,29
32,252.0211,0.7263,0.152,0.01968883381522787,244.8723684210526,37.2206,0.0143,252.0211,0.7263,0.152,1.365174912994274,0.1743982108705348,6.446771316644017,0.2982842253215086,1.3144681699217422,5.183298866975924,29,29
33,252.0211,0.7263,0.1658,0.01968883381522787,224.4909529553679,37.2206,0.0143,252.0211,0.7263,0.1658,1.270602392366093,0.16839568690193113,6.481673535356313,0.29261686722074143,1.2710011024787053,4.946029047627781,29,29
34,252.0211,0.7263,0.1808,0.01968883381522787,205.86615044247787,37.2206,0.0143,252.0211,0.7263,0.1808,1.1942542243208698,0.16434641216457022,6.477457372851804,0.2893892745683131,1.2305624358022027,4.735407764840773,29,29
35,252.0211,0.792,0.1278,0.018055555555555554,291.24100156494524,37.2206,0.0143,252.0211,0.792,0.1278,1.5485736305547704,0.18525423268517566,6.246675261615742,0.294570075001246,1.362522786289304,5.512432700672654,29,29
36,252.0211,0.792,0.1394,0.018055555555555554,267.0057388809182,37.2206,0.0143,252.0211,0.792,0.1394,1.4608647170556877,0.1796453463976038,6.377962934236673,0.2934850826754299,1.3398424217653886,5.348717798779754,29,29
37,252.0211,0.792,0.152,0.018055555555555554,244.8723684210526,37.2206,0.0143,252.0211,0.792,0.152,1.3647635124522541,0.17391824000905062,6.445735362345103,0.2935156946436148,1.305690573767686,5.148227710402922,29,29
38,252.0211,0.792,0.1658,0.018055555555555554,224.4909529553679,37.2206,0.0143,252.0211,0.792,0.1658,1.2716568072139003,0.16857311181104867,6.47853262168844,0.2904182437419166,1.263752638354364,4.918738827328699,29,29
39,252.0211,0.792,0.1808,0.018055555555555554,205.86615044247787,37.2206,0.0143,252.0211,0.792,0.1808,1.191821062641348,0.1644118873468031,6.498419297525929,0.28751467434733446,1.2253998704295006,4.715297336393618,29,29
40,252.0211,0.8637,0.1278,0.016556674771332637,291.24100156494524,37.2206,0.0143,252.0211,0.8637,0.1278,1.535911738341511,0.18391143161345835,6.2286707878345515,0.29058494284025754,1.3516230572268502,5.462464824641896,29,29
41,252.0211,0.8637,0.1394,0.016556674771332637,267.0057388809182,37.2206,0.0143,252.0211,0.8637,0.1394,1.4484527525621829,0.1782205453066353,6.346358450121215,0.29029453089996277,1.3296833469286762,5.303097999993614,29,29
42,252.0211,0.8637,0.152,0.016556674771332637,244.8723684210526,37.2206,0.0143,252.0211,0.8637,0.152,1.3580585403271666,0.17331251173893145,6.441654489759436,0.28865380549350506,1.2934349621841346,5.095985691689232,29,29
43,252.0211,0.8637,0.1658,0.016556674771332637,224.4909529553679,37.2206,0.0143,252.0211,0.8637,0.1658,1.2675429116175676,0.1681090182299064,6.468352882633719,0.28715456070035406,1.2565289087673583,4.888137659791422,29,29
44,252.0211,0.8637,0.1808,0.016556674771332637,205.86615044247787,37.2206,0.0143,252.0211,0.8637,0.1808,1.1874043406361958,0.1634526457163469,6.4671212998498495,0.2817972442433925,1.2145001565526987,4.670370891057014,29,29
45,252.0211,0.9419,0.1278,0.015182078776940227,291.24100156494524,37.2206,0.0143,252.0211,0.9419,0.1278,1.5371982917712526,0.18273723617898582,6.195413285007782,0.2833445097392787,1.3420908647336156,5.417111697096483,29,29
46,252.0211,0.9419,0.1394,0.015182078776940227,267.0057388809182,37.2206,0.0143,252.0211,0.9419,0.1394,1.4442240670869053,0.17801135757668998,6.33399667045026,0.28370981007197954,1.3140321907412296,5.244113774710098,29,29
47,252.0211,0.9419,0.152,0.015182078776940227,244.8723684210526,37.2206,0.0143,252.0211,0.9419,0.152,1.3546951150612132,0.17224997129185932,6.407423715424423,0.28519099345755006,1.284968310147227,5.056605881486148,29,29
48,252.0211,0.9419,0.1658,0.015182078776940227,224.4909529553679,37.2206,0.0143,252.0211,0.9419,0.1658,1.261463429028414,0.1675708417297247,6.459056075148346,0.281967888717345,1.244599451444287,4.838281101098654,29,29
49,252.0211,0.9419,0.1808,0.015182078776940227,205.86615044247787,37.2206,0.0143,252.0211,0.9419,0.1808,1.1873072156851903,0.16337455364574818,6.456282960136464,0.277365357913556,1.2061524457433506,4.632668634880667,29,29
50,274.831,0.666,0.1278,0.021471471471471472,291.24100156494524,37.2206,0.0143,274.831,0.666,0.1278,1.6025429156904862,0.19444740513360387,6.43967102403854,0.3348751885222815,1.4506497431665264,5.880366066168264,29,29
51,274.831,0.666,0.1394,0.021471471471471472,267.0057388809182,37.2206,0.0143,274.831,0.666,0.1394,1.507265690293475,0.18755412514532066,6.53622195310527,0.3331484140142048,1.4170314044686532,5.679475120638549,29,29
52,274.831,0.666,0.152,0.021471471471471472,244.8723684210526,37.2206,0.0143,274.831,0.666,0.152,1.40694313705431,0.180759421426502,6.579919377229321,0.32915072073531937,1.3763410041027981,5.446865290901866,29,29
53,274.831,0.666,0.1658,0.021471471471471472,224.4909529553679,37.2206,0.0143,274.831,0.666,0.1658,1.3010718175038873,0.17356545082078895,6.582966187062646,0.3232762230813517,1.329511679685299,5.1991551862944165,29,29
54,274.831,0.666,0.1808,0.021471471471471472,205.86615044247787,37.2206,0.0143,274.831,0.666,0.1808,1.2170415406000208,0.16784746527116637,6.55613673620072,0.31901995085538715,1.2866883598215852,4.975999902151285,29,29
55,274.831,0.7263,0.1278,0.01968883381522787,291.24100156494524,37.2206,0.0143,274.831,0.7263,0.1278,1.592676953904444,0.1931949816796036,6.410412407205541,0.32922968439187944,1.4368039939161739,5.821615396026532,29,29
