n,k_rate,tau_motor,tau_intensity,k_motor,k_intensity,gain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,649.9574,0.2901,0.02,0.08790072388831437,1056.125,21.1225,0.0255,649.9574,0.2901,0.02,1.8647088338839093,0.23076836125956246,9.334083299523261,0.43005383675227377,1.8142453655295525,7.356207874877916,29,29
1,649.9574,0.2901,0.0218,0.08790072388831437,968.9220183486239,21.1225,0.0255,649.9574,0.2901,0.0218,1.9004905122332882,0.23381397270403775,9.569665143310703,0.4447760479886596,1.8566548967863339,7.450752015075444,29,29
2,649.9574,0.2901,0.0238,0.08790072388831437,887.4999999999999,21.1225,0.0255,649.9574,0.2901,0.0238,1.9600986907683475,0.23868764123931116,9.842396890866144,0.46378856831819837,1.9151731953793236,7.595640818572261,29,29
3,649.9574,0.2901,0.026,0.08790072388831437,812.4038461538462,21.1225,0.0255,649.9574,0.2901,0.026,2.066689306575725,0.25084401779307397,10.118145250758651,0.4891888216281996,2.041636509997546,8.02825654757451,29,29
4,649.9574,0.2901,0.0283,0.08790072388831437,746.3780918727915,21.1225,0.0255,649.9574,0.2901,0.0283,2.1434158918924617,0.25959751170558865,10.334672662565751,0.5212328257270178,2.2588763322607095,8.86619026345675,29,29
5,649.9574,0.3164,0.02,0.08059418457648546,1056.125,21.1225,0.0255,649.9574,0.3164,0.02,1.844652583384331,0.2294508755465539,9.239776817211965,0.4061749775577746,1.7678488153639522,7.178071691903332,29,29
6,649.9574,0.3164,0.0218,0.08059418457648546,968.9220183486239,21.1225,0.0255,649.9574,0.3164,0.0218,1.8610758519055062,0.23005790404438867,9.466261584076129,0.4189889901135642,1.8052640324527487,7.249141481343542,29,29
7,649.9574,0.3164,0.0238,0.08059418457648546,887.4999999999999,21.1225,0.0255,649.9574,0.3164,0.0238,1.9301796540698795,0.23660211878164727,9.718536340131088,0.43706727551234753,1.866000955060031,7.417797254483804,29,29
8,649.9574,0.3164,0.026,0.08059418457648546,812.4038461538462,21.1225,0.0255,649.9574,0.3164,0.026,2.023330324547834,0.24607190498708495,10.016117768840214,0.46463786797620293,1.9761606511901009,7.775781432636201,29,29
9,649.9574,0.3164,0.0283,0.08059418457648546,746.3780918727915,21.1225,0.0255,649.9574,0.3164,0.0283,2.082596674895234,0.25224521803328476,10.257313635708764,0.49619591248996525,2.1491150246870014,8.42249023950556,29,29
10,649.9574,0.345,0.02,0.07391304347826087,1056.125,21.1225,0.0255,649.9574,0.345,0.02,1.7988109700609645,0.2265492500882706,9.136567026427983,0.38183799717588557,1.704011835451695,6.935724952100579,29,29
11,649.9574,0.345,0.0218,0.07391304347826087,968.9220183486239,21.1225,0.0255,649.9574,0.345,0.0218,1.8270087112969016,0.2271097012643876,9.35822278928094,0.39593780452558897,1.7533091486330612,7.043798611007428,29,29
12,649.9574,0.345,0.0238,0.07391304347826087,887.4999999999999,21.1225,0.0255,649.9574,0.345,0.0238,1.8933141158025035,0.23202290977843448,9.613129353441929,0.41340595529439095,1.8143005649759645,7.212875671241523,29,29
13,649.9574,0.345,0.026,0.07391304347826087,812.4038461538462,21.1225,0.0255,649.9574,0.345,0.026,1.9729209034267947,0.23964267941501805,9.895559798607406,0.4383164264883508,1.90923150226419,7.5201780902680495,29,29
14,649.9574,0.345,0.0283,0.07391304347826087,746.3780918727915,21.1225,0.0255,649.9574,0.345,0.0283,2.056002300186969,0.24840231168253196,10.164356012263694,0.4688464407422859,2.0529163191371484,8.040341093008637,29,29
15,649.9574,0.3762,0.02,0.06778309409888357,1056.125,21.1225,0.0255,649.9574,0.3762,0.02,1.7643906607048083,0.22301798896151143,9.06928300243545,0.35847987389130037,1.6456160787438145,6.69090829674716,29,29
16,649.9574,0.3762,0.0218,0.06778309409888357,968.9220183486239,21.1225,0.0255,649.9574,0.3762,0.0218,1.7778968543214815,0.2236567811842766,9.268752386390174,0.3729085341433968,1.6919497782486126,6.800260641829146,29,29
17,649.9574,0.3762,0.0238,0.06778309409888357,887.4999999999999,21.1225,0.0255,649.9574,0.3762,0.0238,1.8566885040857608,0.22916089872933382,9.531402035245732,0.38999063312661736,1.7623886847758978,7.010172089278333,29,29
18,649.9574,0.3762,0.026,0.06778309409888357,812.4038461538462,21.1225,0.0255,649.9574,0.3762,0.026,1.945644681041293,0.2369960393232532,9.805486071325022,0.41430543061393693,1.8538245334233752,7.31596922966481,29,29
19,649.9574,0.3762,0.0283,0.06778309409888357,746.3780918727915,21.1225,0.0255,649.9574,0.3762,0.0283,2.030872051974022,0.24482270549266322,10.079821960379093,0.44611160082179646,1.9824264689275841,7.7645346209958594,29,29
20,649.9574,0.4103,0.02,0.06214964660004874,1056.125,21.1225,0.0255,649.9574,0.4103,0.02,1.746958462460518,0.221540975693458,9.007865841664232,0.3381111521022779,1.6029635649832628,6.528196576337984,29,29
21,649.9574,0.4103,0.0218,0.06214964660004874,968.9220183486239,21.1225,0.0255,649.9574,0.4103,0.0218,1.7445355534104832,0.22094623350613887,9.203518541826352,0.35106327643837454,1.6417070885532437,6.591239695188963,29,29
22,649.9574,0.4103,0.0238,0.06214964660004874,887.4999999999999,21.1225,0.0255,649.9574,0.4103,0.0238,1.8208784617586864,0.22693693775649762,9.440594965840516,0.3689810895873674,1.7158966097762802,6.831027586411709,29,29
